Comment,positive/negative
Me gaanige gon athal Vikara gon gani Sangeeth ayyooo vikara gon ganiyek allagena eyath nondi,NEGATIVE
Hama thaninma chora wenawa,NEGATIVE
Ane gon harakiyak moda kama pradarsanaya karanawa,NEGATIVE
Moda holmanak meyata wada niliyo na kiyala hithan inne,NEGATIVE
"Kaduwa ban mewage ganu ganne mewata, gonnu",NEGATIVE
Gon haththa,NEGATIVE
henama gon pataine,NEGATIVE
Vikara munnge,NEGATIVE
Ane me hutti,NEGATIVE
Anee walgama gon gahak neda,NEGATIVE
Ganiye umblage gewal walinwath keyanna nadda pissu hadila keyala,NEGATIVE
maha gon kohomath me gani,NEGATIVE
mekita pisshu Mata Penna Bari charithayak,NEGATIVE
Lankawe me wage gon ganu thawath sitida,NEGATIVE
Poththa pata unata mole neee,NEGATIVE
Me wge wesiyo hind thmi niliyoth epwenne,NEGATIVE
"අපෝ මටත් පේන්න බැ බබාමල විකාරයක් නාඩගමක් දිනිති ,",NEGATIVE
Mata penna ba pandithai eya,NEGATIVE
Puduma lokukamakne meyate thiyenne,NEGATIVE
Loku oluwa,NEGATIVE
Me tirisanatath oninathideyak namuta gahala yanne nane,NEGATIVE
idakin meki ragana widiha,NEGATIVE
Yako mehemath ganu,NEGATIVE
puke amaruwa,NEGATIVE
Makitai mulu pawule okkoma pisso,NEGATIVE
Pissu wikarayak Onewata wedi so eka,NEGATIVE
Wediya posh wenn gihama ohoma wenawa kauda bn me,NEGATIVE
Mekinam hena moda gahaniyak,NEGATIVE
Anee mayage heti gon badda kolama,NEGATIVE
Malakolan me ganianne babek Asama ne me kolan gani,NEGATIVE
Meke hithagena inne ale puken awa kiyala,NEGATIVE
Mata pennama beri kellek,NEGATIVE
pissu ganiyek,NEGATIVE
uba mona geniyekda moda geniye,NEGATIVE
Wesa image ekak thiyena patta wesiyek oki WHO CARES,NEGATIVE
Mekita jelasda,NEGATIVE
Pissu magulak mongel walgamage,NEGATIVE
Meki chora wenna eka,NEGATIVE
Mamanam akamathima kenek,NEGATIVE
Vikara munta pissu vikara,NEGATIVE
Ane me pussu gonek,NEGATIVE
Moda Badu form karanawa,NEGATIVE
Puduma kolamak pissu,NEGATIVE
Pissu neththam shook,NEGATIVE
Ane huke,NEGATIVE
Nugath moda ganu,NEGATIVE
Ammo maha gon neda,NEGATIVE
Mole kaladak na,NEGATIVE
Manasika ledak mekita,NEGATIVE
Meka hamadama chora thama,NEGATIVE
Gon actress la,NEGATIVE
gahanawada gon kama ekige gon kathawalata aiyoo manda,NEGATIVE
Mongal huthak meka,NEGATIVE
Pissu magulak,NEGATIVE
oya pissu honthu,NEGATIVE
Mala koalamak,NEGATIVE
Pissu huth##,NEGATIVE
"Ane ithin tho huththit thiyena wade thamai puke ara gana ek ponna wesi
 Ai bn mehema rattu hinassanne",NEGATIVE
Nodakin balli,NEGATIVE
Mekige sobane,NEGATIVE
Walgamane mona buru ganiyek,NEGATIVE
Mona huththiyekda me,NEGATIVE
Maka Mongol dayal akk,NEGATIVE
පිස්සු magulak,NEGATIVE
Ammmmo hena niliya wena naththam,NEGATIVE
මෝඩ කම denagena hodata bait karanawa eya hithan inne hemima hina wenne eyage hurathaketa kitala eth eyage gon katha walata hinawenne e minussu,NEGATIVE
Me gani mekige minihatath lajjawata wata path karanawa,NEGATIVE
Gon Dinithi ta lejjawak nedda,NEGATIVE
Me wanachari hithanne meki thamai no1 kiyalapara demali,NEGATIVE
Jara wanachara appiriyavi,NEGATIVE
Me padangu genalla tv wala penwana harak inna pissu ratak meka,NEGATIVE
Hod wade mekita,NEGATIVE
Manasikaaa ledek meee geeniiii,NEGATIVE
Ane gon gon,NEGATIVE
Pissu magulak,NEGATIVE
Appiriya hithena charithayak,NEGATIVE
wattanna haduwata e ayamai watenne hamoma hari kuhakai,NEGATIVE
Me gaanige boruwa kate pal wenawa,NEGATIVE
Gon sobana thiyena ganiyek,NEGATIVE
Dinithi moda choon baduwak thama,NEGATIVE
Gon hinawa pissu mala kolamak,NEGATIVE
Gon ganiyek Kathawenma penawa gathiguna mona wageda kiyala nihathamanikama gawilawath na,NEGATIVE
Gon geniyek,NEGATIVE
Mongal geniyek appiriyai,NEGATIVE
Gon magulak,NEGATIVE
Mogal ganiyek,NEGATIVE
Mala vikara,NEGATIVE
Nodakin boru sobana,NEGATIVE
Mata nam pennana ba inna katawakwath balanna hitenne naa,NEGATIVE
Ane patta huththiya Moda chun Danna epa,NEGATIVE
Moda whottiyek,NEGATIVE
Meya kohomath chora wena kenekne,NEGATIVE
Mala kolama,NEGATIVE
Gon huttak,NEGATIVE
Puke parak baide,NEGATIVE
Me dinithi gaanige boru sobanae mhamodara kunu ala langa gedara boru hurathale mawapanawa danno danithi,NEGATIVE
Meyage puke vidde nedda,NEGATIVE
Ma waga Gon ganu Ganna apa Gu Godak Pada so Baduwak,NEGATIVE
Pissu modakama,NEGATIVE
Pissu magulak ahana eakata ita wada pissek okkotama pissu,NEGATIVE
Mata makiva panna ba mala samayan,NEGATIVE
Aruge palaweni ganith ehemai mekath ehwmai paw appa,NEGATIVE
Me huththi ganja gahalada kudu gahalada,NEGATIVE
Mata nm asdekata pennaberi soobana ganiyek,NEGATIVE
Laga hitiyanam kanapalanne gajanawa pada show,NEGATIVE
padasho mekige,NEGATIVE
Mala holmanak meki lolukama mata penna be,NEGATIVE
boru sobane gone ganigemekita thiyenne amu gonkam pandithakamak e modakama wadi unama ena ekaahawal de karaddi kohomada danne nha ka gahuwe moda gani,NEGATIVE
Pissu huththak,NEGATIVE
Appiriya charithayak,NEGATIVE
Nodakin musala geni puduma loku kamak thiyenne,NEGATIVE
Mongal huttak pada show,NEGATIVE
Mode gon wade,NEGATIVE
Apoooo nodakin mekiwa mata penna ba Katha karana hati Oya,NEGATIVE
Pissu mekita,NEGATIVE
mata pennama beri oya mala kolam nisaokiw maduruwek newei kanna thibune oya egawal wala wahala netthe nila messo vitharai wenna ethiwesa badu,NEGATIVE
Oya geeninam mala appiriyai oya pissu wikara gennana thopita mongalde,NEGATIVE
Oya ganinam,NEGATIVE
"Mara boru posh, hammo",NEGATIVE
Apoo miniha issrh lejja weno,NEGATIVE
oka hodai hukanda wena nam wedak na,NEGATIVE
"Mala wikara lady's going show baba hukkum,",NEGATIVE
Moda nugath ganiyek anagannawa hamathanama,NEGATIVE
"Paw Mekita molayak Aran denna kawru hari
 Nivedakaya Karima hodai hoda vade",NEGATIVE
Mokut nathi un ohoma raganawa,NEGATIVE
Oya huththi mata penna ma ba,NEGATIVE
Akamathima niliya meya,NEGATIVE
Pissu hutta,NEGATIVE
Thanakata gihin hasirenna danna Moda haththa,NEGATIVE
Wate inna aya hodata chatar karanawa,NEGATIVE
Chora baddak,NEGATIVE
gon baduwa,NEGATIVE
Gon uththara hodawade,NEGATIVE
Manasika rogiyek dinithi,NEGATIVE
Hodawade mongal magulata,NEGATIVE
Ai ane me ugath unath me wage gon widiyata hesirenne,NEGATIVE
Moda gon musala,NEGATIVE
Dini godak sobanai,NEGATIVE
Danuth gon part thiyenawa Issara nam me wage padanguwak mama dakalama naa,NEGATIVE
Ayyo pissu magulak meya kohomada danne na bande,NEGATIVE
Appiriyaii hello,NEGATIVE
Mala wikarayak sangeethwa th epa una meya nisa,NEGATIVE
Mekita loos da,NEGATIVE
Harima moda niliyak badala inna eka mi harakek,NEGATIVE
paditha kamada loku kamada,NEGATIVE
Kata ariyoth gonma thama,NEGATIVE
"Mata oya hinawai lokukamai pandithakamai paynna ba appiriyaii,",NEGATIVE
Pissu huththawal,NEGATIVE
Jara appiriyai,NEGATIVE
mun inne mahapolawe adiya gahalada inne munta mol,NEGATIVE
Penna ba mekiwa,NEGATIVE
Anunge reddawal hoyanawa,NEGATIVE
Akamathima charithayak,NEGATIVE
Hari gon ne,NEGATIVE
Kohomath oya panditai tama lokukama hamathissema kiyawanawa,NEGATIVE
Ammo pada manika,NEGATIVE
Ane maha mola kari kiyala thama hithan inne,NEGATIVE
Pissu ganiyek,NEGATIVE
Apo gon kiynne mari gon,NEGATIVE
udhdhachchma manussayek,NEGATIVE
Thu nodakin mehema pissiyo pandithakama anga purama lakawe nemeida adi 100 k withara uda inne posh wenna gihin pus wenawa aiyo,NEGATIVE
Samayan eke hodama eka,NEGATIVE
Ali polu basa ganna kota ridanne nada,NEGATIVE
Sangith Gona neda den bendala inne haraka,NEGATIVE
Pissu Mekita ane manda mewata monwa kiyannda,NEGATIVE
Me diniti marama sobane,NEGATIVE
Aiyo me manussayawa maduruwek nisa iwara karanawa,NEGATIVE
Matanam penna ba wikara,NEGATIVE
Sobana dinithi penna baha,NEGATIVE
Harima huratal polawe paya gahala inne nathi minissu wage mala vikara,NEGATIVE
lajja weyan oya wage gahaniyak kara gahapu eka gana,NEGATIVE
Gon ganiyek,NEGATIVE
Hoda wede pada show danawata ohoma charitha Penna be,NEGATIVE
Pissu charitha,NEGATIVE
Maha gon awalamak hithan inne rajina kiyala moda kame sankethe,NEGATIVE
Pissu geniyek,NEGATIVE
Ponna balliyek,NEGATIVE
Mata penna beri geniyek niyamai chora una,NEGATIVE
Mala samayamak meeki,NEGATIVE
Kakka godak meya,NEGATIVE
Gon nili ganikawak,NEGATIVE
mala sobana ganiyek,NEGATIVE
Ai bn ubalage amma chora unu ewa dapanko ponsiyo,NEGATIVE
Over acting dagalana,NEGATIVE
Katu kana balla hena gahapanan munge lamaita,NEGATIVE
Kota ponnaya,NEGATIVE
Kapiya tho gu,NEGATIVE
Ballo ban okun,NEGATIVE
patta hora,NEGATIVE
gon thakkadi kalakanni nodakin kalakanni,NEGATIVE
Thopi wage unta nm madi athi thamai yako thopi kohomath nasthikara haththane,NEGATIVE
Kalakaniya hena gahapiya,NEGATIVE
ballo thoge katata renna ona sakkiliya,NEGATIVE
Inna hati gahanna hithenawa,NEGATIVE
Kakka danawada,NEGATIVE
Chik munge hati,NEGATIVE
ki denek nam oyata baninawada ouage tik tok lassanai kiyala hithanna epa,NEGATIVE
Kabari hati witharak,NEGATIVE
Denawa nam hukanawa eli wenakan,NEGATIVE
Aththatama appiriyai thamai,NEGATIVE
kola tikak kapan tho ela haraki,NEGATIVE
Parana badu,NEGATIVE
Patta wesi tho dakkama kello sanhathiyama epa wenawa wesi,NEGATIVE
Mongali ane bn ubata mongalda,NEGATIVE
Uba baduwakda,NEGATIVE
Wesiyo tikai wesawo tikai appiriyai dakiddith,NEGATIVE
Ane huke,NEGATIVE
Mara boru posh hammo,NEGATIVE
Mata oyage hinawai lokukamai pandithakamai penna ba appiriyai,NEGATIVE
Monawada yako me sindu,NEGATIVE
Nangi lasasanai sinduwa marai a,NEGATIVE
Lassanai manika,NEGATIVE
Mala wikara,NEGATIVE
Ade pissuda ganiye ubata,NEGATIVE
inoka akkata kelagahala puke arinna one,NEGATIVE
Mala holmanak ne yako meki,NEGATIVE
Lassanai ane,NEGATIVE
Pissu magul,NEGATIVE
Meya manasika ledek banala paw sidda kara ganna epa,NEGATIVE
Manasika leddu,NEGATIVE
Uba vage moda ganiyek,NEGATIVE
Maha pissu ganiyek,NEGATIVE
ganu sanhathiyatama lajjawak uba nam,NEGATIVE
Kapati ammandi,NEGATIVE
meki loka kapati ganiyek,NEGATIVE
Apata pukada huththiye wadak karagena idapiya moda huththi,NEGATIVE
bota pissuda,NEGATIVE
Nodakin huththi,NEGATIVE
Ai bn me pissso,NEGATIVE
Pala huththi,NEGATIVE
Para balli patta wesi,NEGATIVE
Gon hukanniyak,NEGATIVE
Mekita pissuda bn,NEGATIVE
Mekita pissu,NEGATIVE
